iter	Passed	Remaining
583	1427983	1017193
584	1430347	1014690
585	1432871	1012301
586	1435342	1009875
587	1437744	1007398
588	1440108	1004897
589	1442480	1002402
590	1444714	999811
591	1447037	997282
592	1449346	994745
593	1451668	992217
594	1454046	989729
595	1456269	987135
596	1458702	984685
597	1461139	982237
598	1463380	979658
599	1465695	977130
600	1467990	974589
601	1470522	972205
602	1472791	969648
603	1475225	967200
604	1477631	964734
605	1480071	962290
606	1482372	959756
607	1484781	957293
608	1487203	954838
609	1489569	952347
610	1491841	949797
611	1494073	947223
612	1496282	944634
613	1498496	942051
614	1500695	939459
615	1502859	936847
616	1505183	934336
617	1507498	931819
618	1509750	929265
619	1512008	926714
620	1514134	924085
621	1516400	921542
622	1518605	918963
623	1520931	916458
624	1523196	913918
625	1525506	911404
626	1527689	908816
627	1529976	906291
628	1532340	903812
629	1534521	901227
630	1536839	898722
631	1539174	896228
632	1541500	893729
633	1543861	891251
634	1546144	888728
635	1548548	886275
636	1550963	883829
637	1553389	881390
638	1555649	878856
639	1557855	876293
640	1559983	873688
641	1562279	871177
642	1564442	868593
643	1566879	866163
644	1569212	863675
645	1571648	861243
646	1574232	858893
647	1576684	856470
648	1579109	854032
649	1581525	851590
650	1583817	849081
651	1586222	846633
652	1588611	844178
653	1591006	841725
654	1593362	839252
655	1595610	836722
656	1597855	834192
657	1600122	831674
658	1602268	829095
659	1604524	826573
660	1606788	824056
661	1609088	821558
662	1611260	818996
663	1613525	816482
664	1615816	813982
665	1618038	811448
666	1620282	808926
667	1622552	806418
668	1624768	803884
669	1627065	801390
670	1629552	798990
671	1631882	796514
672	1634271	794066
673	1636657	791617
674	1638943	789120
675	1641331	786673
676	1643724	784228
677	1645995	781726
678	1648356	779267
679	1650722	776810
680	1652883	774258
681	1655181	771770
682	1657394	769244
683	1659704	766764
684	1661940	764250
685	1664262	761776
686	1666658	759336
687	1669041	756891
688	1671318	754397
689	1673704	751954
690	1676063	749498
691	1678418	747041
692	1680666	744537
693	1683021	742081
694	1685383	739628
695	1687662	737139
696	1689838	734607
697	1692067	732098
698	1694348	729612
699	1696609	727118
700	1698807	724598
701	1701035	722091
702	1703162	719543
703	1705376	717033
704	1707599	714527
705	1709793	712010
706	1711911	709462
707	1714132	706958
708	1716285	704427
709	1718550	701943
710	1720859	699477
711	1723174	697014
712	1725388	694511
713	1727700	692048
714	1729984	689574
715	1732158	687057
716	1734432	684580
717	1736658	682086
718	1738800	679558
719	1741022	677064
720	1743252	674573
721	1745399	672051
722	1747625	669560
723	1749742	667028
724	1751954	664534
725	1754189	662049
726	1756420	659563
727	1758549	657040
728	1760790	654560
729	1763097	652104
730	1765348	649628
731	1767685	647185
732	1769908	644700
733	1772040	642183
734	1774256	639698
735	1776524	637231
736	1778781	634761
737	1781020	632286
738	1783360	629847
739	1785584	627367
740	1787951	624938
741	1790255	622487
742	1792555	620036
743	1794807	617568
744	1797042	615095
745	1799216	612601
746	1801455	610131
747	1803717	607669
748	1805992	605212
749	1808277	602759
750	1810498	600285
751	1812695	597803
752	1814938	595338
753	1817233	592890
754	1819565	590455
755	1821781	587982
756	1824078	585536
757	1826201	583035
758	1828415	580564
759	1830627	578093
760	1832828	575618
761	1835001	573137
762	1837320	570701
763	1839505	568224
764	1841708	565753
765	1843903	563281
766	1846015	560784
767	1848211	558314
768	1850450	555857
769	1852675	553396
770	1854784	550902
771	1856970	548431
772	1859163	545963
773	1861356	543496
774	1863443	540999
775	1865711	538555
776	1867938	536100
777	1870176	533649
778	1872389	531191
779	1874593	528731
780	1876889	526298
781	1879002	523814
782	1881284	521377
783	1883579	518945
784	1885799	516492
785	1887898	514008
786	1890096	511550
787	1892305	509097
788	1894412	506617
789	1896627	504166
790	1898830	501713
791	1901024	499259
792	1903138	496784
793	1905377	494342
794	1907644	491908
795	1910071	489515
796	1912275	487066
797	1914524	484629
798	1916739	482183
799	1918950	479737
800	1921094	477275
801	1923331	474837
802	1925488	472380
803	1927680	469932
804	1929890	467489
805	1932086	465043
806	1934270	462594
807	1936452	460147
808	1938644	457702
809	1940845	455259
810	1943049	452819
811	1945266	450381
812	1947460	447939
813	1949654	445498
814	1951760	443037
815	1953963	440599
816	1956160	438160
817	1958263	435701
818	1960470	433266
819	1962663	430828
820	1964760	428370
821	1966960	425935
822	1969158	423500
823	1971274	421048
824	1973490	418619
825	1975685	416185
826	1977794	413734
827	1980003	411304
828	1982208	408875
829	1984322	406427
830	1986529	403999
831	1988724	401569
832	1990834	399122
833	1993027	396693
834	1995236	394268
835	1997452	391844
836	1999559	389400
837	2001762	386975
838	2003941	384546
839	2006162	382126
840	2008431	379715
841	2010806	377324
842	2013005	374901
843	2015265	372489
844	2017840	370136
845	2020372	367774
846	2022686	365373
847	2025101	362989
848	2027374	360581
849	2029690	358180
850	2031952	355770
851	2034198	353358
852	2036456	350948
853	2038770	348548
854	2041018	346137
855	2043180	343712
856	2045501	341314
857	2047796	338912
858	2050108	336513
859	2052329	334100
860	2054553	331687
861	2056799	329278
862	2059140	326885
863	2061336	324469
864	2063582	322062
865	2065946	319673
866	2068233	317272
867	2070373	314849
868	2072564	312434
869	2074661	310006
870	2076862	307595
871	2079072	305185
872	2081185	302761
873	2083401	300353
874	2085602	297943
875	2087708	295520
876	2089958	293118
877	2092252	290722
878	2094385	288305
879	2096586	285898
880	2098785	283490
881	2101083	281097
882	2103319	278695
883	2105535	276291
884	2107853	273901
885	2110144	271508
886	2112285	269096
887	2114496	266693
888	2116736	264294
889	2118940	261891
890	2121138	259488
891	2123279	257078
892	2125511	254680
893	2127717	252279
894	2129912	249877
895	2132012	247465
896	2134199	245064
897	2136398	242664
898	2138583	240263
899	2140785	237865
900	2142895	235456
901	2145373	233089
902	2147889	230725
903	2150173	228336
904	2152403	225942
905	2154643	223550
906	2156854	221154
907	2159170	218770
908	2161302	216367
909	2163487	213971
910	2165690	211576
911	2167870	209180
912	2170063	206785
913	2172159	204382
914	2174352	201989
915	2176540	199595
916	2178656	197195
917	2180852	194803
918	2183120	192418
919	2185297	190025
920	2187479	187633
921	2189670	185243
922	2191861	182853
923	2194043	180462
924	2196201	178070
925	2198423	175683
926	2200754	173306
927	2203050	170926
928	2205198	168535
929	2207547	166159
930	2209938	163787
931	2212174	161403
932	2214286	159010
933	2216514	156627
934	2218620	154235
935	2220876	151854
936	2223103	149472
937	2225321	147089
938	2227438	144700
939	2229657	142318
940	2232010	139945
941	2234281	137567
942	2236587	135191
943	2238884	132815
944	2241135	130436
945	2243293	128052
946	2245564	125675
947	2247726	123293
948	2249967	120914
949	2252248	118539
950	2254573	116166
951	2256698	113783
952	2258937	111406
953	2261300	109035
954	2263555	106659
955	2265855	104286
956	2268059	101908
957	2270257	99531
958	2272478	97154
959	2274773	94782
960	2277059	92409
961	2279387	90038
962	2281679	87665
963	2283933	85292
964	2286244	82920
965	2288507	80547
966	2290808	78176
967	2293018	75802
968	2295208	73427
969	2297403	71053
970	2299598	68680
971	2301738	66305
972	2304059	63935
973	2306272	61563
974	2308461	59191
975	2310556	56816
976	2312770	54445
977	2315006	52075
978	2317112	49703
979	2319311	47332
980	2321497	44962
981	2323697	42593
982	2325900	40224
983	2328102	37855
984	2330340	35487
985	2332572	33119
986	2334787	30752
987	2336948	28383
988	2339164	26016
989	2341403	23650
990	2343621	21284
991	2345737	18917
992	2347937	16551
993	2350134	14185
994	2352330	11820
995	2354458	9455
996	2356737	7091
997	2358927	4727
998	2361124	2363
999	2363379	0
