iter	MultiClass
387	176.8001088
388	154.002797
389	130.9209802
390	172.2618073
391	283.770792
392	257.4296551
393	233.6017081
394	210.5190661
395	187.6131579
396	164.72712
397	141.8417167
398	118.9563134
399	213.3141
400	248.8048357
401	222.1378226
402	198.7572244
403	175.7532376
404	152.8486539
405	129.9595086
406	113.3101858
407	223.5544073
408	200.651001
409	177.7655977
410	154.8801943
411	131.994791
412	228.6111028
413	261.5113607
414	235.5839261
415	212.0828031
416	189.0812876
417	166.1845043
418	143.299101
419	120.4136977
420	97.52829433
421	242.5429082
422	201.2387593
423	233.9801993
424	199.3997932
425	176.5869538
426	152.3763722
427	133.7628522
428	114.3155561
429	225.6341024
430	199.2091353
431	196.7613618
432	174.8345375
433	152.9825907
434	131.4885848
435	132.8099473
436	267.3485116
437	233.1130494
438	206.2783716
439	184.2178403
440	162.7168404
441	141.2955313
442	119.8900772
443	98.48462299
444	195.7922514
445	222.6659609
446	190.0849173
447	167.4205356
448	147.3475848
449	128.0222466
450	109.8160238
451	170.2413421
452	191.4180275
453	176.8317415
454	156.7332344
455	136.7468937
456	118.4640348
457	154.0952903
458	229.9313839
459	200.9764997
460	185.4753842
461	164.1458211
462	144.0284332
463	125.3145295
464	165.5177399
465	182.7338179
466	165.2778275
467	146.7240886
468	132.4273437
469	132.4255314
470	124.9213364
471	103.2322313
472	185.202042
473	216.6566573
474	186.4021198
475	167.3900707
476	150.0398583
477	133.9935427
478	125.548213
479	218.6620585
480	201.4421999
481	184.7822412
482	167.768502
483	150.8512088
484	133.9675376
485	117.0868688
486	150.4719398
487	207.8738092
488	184.8236793
489	176.213008
490	143.8689435
491	122.6366542
492	118.2112648
493	107.6022191
494	198.2638939
495	175.8484399
496	170.4992256
497	135.4796737
498	115.4987386
499	110.4040471
500	105.9578982
501	158.6838111
502	138.9690053
503	136.7983044
504	144.1168194
505	192.3041867
506	186.4457501
507	154.7430579
508	136.1336366
509	130.1342405
510	104.0922457
511	129.2265283
512	188.1454389
513	179.2117382
514	143.4080556
515	131.7551497
516	102.9993557
517	86.39878797
518	148.260852
519	219.2703726
520	196.3204381
521	183.1406751
522	177.5250742
523	169.7320876
524	163.1628314
525	156.5201985
526	171.3985463
527	197.8716343
528	193.927825
529	163.9979315
530	141.4702978
531	128.4647741
532	111.6461406
533	111.6444275
534	95.3251322
535	120.6859576
536	183.3111548
537	179.1992568
538	139.3393186
539	131.2604567
540	100.4230385
541	101.0513451
542	154.8874516
543	157.9038431
544	119.8885824
545	106.7775533
546	150.3913908
547	184.0934434
548	162.1674212
549	166.8256224
550	125.7615456
551	106.6771727
552	119.1870158
553	144.1255512
554	141.4503
555	109.2673444
556	92.08324834
557	114.531458
558	218.4634922
559	192.2444691
560	169.8730025
561	150.1680585
562	128.4092339
563	169.8783452
564	140.5156931
565	119.0873477
566	98.89654075
567	95.42919249
568	141.4972085
569	151.742999
570	131.3558329
571	128.7589258
572	154.5914615
573	207.4000332
574	196.4028527
575	163.778737
576	142.1499787
577	142.833186
578	113.701161
579	105.2236422
580	160.3045356
581	189.5686573
582	167.6645759
583	161.3626435
584	122.7523283
585	192.5370456
586	209.2297033
587	187.4364887
588	165.7747247
589	145.2985146
590	129.3381398
591	176.7564551
592	217.6119099
593	195.6626813
594	185.2005108
595	150.6022195
596	130.5485789
597	122.8261681
598	176.2936256
599	206.3249176
600	184.4551676
601	176.5540249
602	139.4904598
603	174.3942091
604	200.5266191
605	194.7392603
606	156.9824308
607	139.8841524
608	205.4161535
609	257.7237328
610	232.210436
611	209.5763521
612	187.6420481
613	165.8492804
614	148.4483959
615	125.8276136
616	168.1892189
617	180.2329825
618	159.9505462
619	167.6099758
620	206.7606952
621	225.2983165
622	203.5363223
623	214.1976573
624	159.6760755
625	153.5418894
626	163.0924416
627	227.252197
628	207.7410155
629	181.4768302
630	159.9330199
631	155.9914295
632	221.7172859
633	212.4247956
634	177.2154675
635	159.7248618
636	177.7618003
637	249.6160101
638	227.638224
639	238.4897498
640	182.5262932
641	167.3771881
642	148.6822003
643	213.038084
644	204.6599424
645	182.7943085
646	161.4713687
647	213.6769593
648	222.3303421
649	217.4608529
650	177.6616233
651	160.1677703
652	214.1237417
653	246.3239129
654	236.1053965
655	200.7192223
656	179.344008
657	174.7788133
658	157.2343187
659	249.3234836
660	227.1458572
661	232.2027176
662	193.8218852
663	257.3944084
664	258.8356511
665	212.1242954
666	191.8197581
667	197.0205923
668	240.8517253
669	261.6523855
670	249.2115117
671	215.2432778
672	193.9038164
673	207.528747
674	211.7968431
675	239.388805
676	219.2766436
677	199.1293915
678	248.5100442
679	247.1355226
680	222.7197941
681	202.859148
682	190.6397346
683	288.9327067
684	267.9497989
685	245.8932027
686	224.0239153
687	213.1951607
688	191.4501604
689	238.6012017
690	216.9764569
691	203.9853064
692	177.0766683
693	242.4945355
694	265.6821286
695	256.2791781
696	220.5078662
697	256.7139184
698	279.9374924
699	279.2011323
700	234.0559707
701	224.5717409
702	202.3259848
703	296.2982482
704	274.1871778
705	272.4155583
706	228.9519781
707	218.3915046
708	232.367943
709	268.6507968
710	247.4419177
711	254.225284
712	270.7802806
713	298.3970294
714	281.7513542
715	252.3033052
716	232.0311687
717	243.1845817
718	283.3480695
719	301.901958
720	299.2411604
721	255.5477684
722	235.0662749
723	246.9020968
724	293.7184243
725	272.2389952
726	264.7380506
727	235.7508966
728	333.8476944
729	326.5441212
730	287.9984791
731	266.3991584
732	263.1772238
733	230.0255665
734	303.5250995
735	312.2941882
736	316.4488647
737	266.0101295
738	266.1374187
739	319.4650455
740	306.9275195
741	324.7184172
742	321.2239882
743	299.5690263
744	309.272588
745	260.1877129
746	327.6267209
747	346.1648436
748	324.1674674
749	337.0000476
750	281.8351111
751	256.923666
752	276.6644343
753	342.2612049
754	339.4839487
755	295.6625801
756	288.2734861
757	293.7467852
758	329.2565824
759	307.7222453
760	307.0263678
761	268.9160424
762	354.6912715
763	353.3654091
764	331.4900668
765	338.3140026
766	286.5757866
767	268.8724591
768	323.6391502
769	335.0068721
770	281.3574858
771	337.9537114
772	367.5387693
773	347.0532056
774	321.5990967
775	300.1360119
776	347.1549854
777	383.9217392
778	362.0056925
779	340.4309701
780	321.4976524
781	301.3117074
782	374.1160948
783	385.9557595
784	369.7657119
785	340.2353292
786	318.9683598
787	312.2374881
788	334.9894018
789	383.2496232
790	361.1809392
791	358.5640239
792	316.0006874
793	300.4896523
794	372.876049
795	376.0876125
796	329.7563125
797	314.8172847
798	413.7456609
799	417.299557
800	367.5842312
801	365.8098509
802	323.1700654
803	305.7665583
804	396.1956512
805	418.5982481
806	394.6107772
807	372.0435209
808	350.0145629
809	328.1670912
810	405.6334598
811	334.3403343
812	313.807396
813	311.2964418
814	352.3792698
815	353.7116286
816	338.7760489
817	346.14485
818	415.1118333
819	394.8197144
820	369.293386
821	347.8045533
822	353.5773118
823	317.7367299
824	409.3534394
825	402.6622457
826	363.3541872
827	341.7734408
828	340.8329714
829	372.9488031
830	377.763159
831	376.3341005
832	338.2549767
833	386.6529766
834	421.8109927
835	420.1632455
836	376.1532746
837	356.902857
838	332.927896
839	354.896445
840	418.2293195
841	421.1160823
842	374.1357016
843	352.5602437
844	409.3461269
845	411.410286
846	403.7480402
847	367.0131403
848	349.6006313
849	436.8322863
850	463.6097891
851	439.5799239
852	417.063531
853	395.0695407
854	377.1266461
855	349.1639328
856	379.9251194
857	384.4393793
858	363.4847812
859	340.9717163
860	353.2319812
861	424.3592777
862	410.7510996
863	377.7642807
864	398.8899892
865	432.5644093
866	437.6980771
867	387.3673025
868	384.9761437
869	365.3648019
870	448.9718997
871	429.1998558
872	403.0010103
873	381.4175119
874	373.4305576
875	373.73402
876	420.9300625
877	414.9259143
878	393.2610558
879	375.8546684
880	449.6610173
881	486.6229458
882	462.7416091
883	440.3042132
884	418.3340943
885	398.9263162
886	372.5214296
887	369.239279
888	413.3011282
889	391.8628752
890	398.7550968
891	383.8205231
892	453.7875919
893	431.6979045
894	412.6206923
895	385.5857563
896	420.3177365
897	444.3122073
898	422.744163
899	423.3188356
900	383.108654
901	463.2055407
902	493.6001175
903	469.7666485
904	447.2774531
905	425.2823543
906	403.8627873
907	394.8010189
908	363.5279269
909	403.4476941
910	398.8899701
911	487.0575578
912	473.1194849
913	440.3046379
914	418.7361218
915	414.3288408
916	378.9099254
917	458.1409214
918	489.3989643
919	465.5651174
920	443.076385
921	421.0813141
922	399.4372026
923	402.0947203
924	412.9563588
925	435.7015388
926	414.315603
927	411.9412832
928	418.5788484
929	477.8401815
930	455.7479162
931	447.9549415
932	409.7274762
933	400.4801263
934	380.9085844
935	436.6443752
936	414.902196
937	410.4308357
938	427.4851296
939	443.6223707
940	427.0063838
941	403.3104474
942	451.2563968
943	488.4475968
944	490.2158738
945	445.5775601
946	426.1923041
947	401.7505515
948	406.3373657
949	437.4495119
950	445.3104233
951	398.4773598
952	482.4026088
953	484.1107438
954	462.1760169
955	471.2093934
956	417.274882
957	455.1475844
958	499.72892
959	477.8876899
960	456.5307479
961	436.9897281
962	464.2590279
963	549.2694213
964	523.452008
965	500.5816348
966	478.416174
967	456.5036058
968	434.9504259
969	414.9792711
970	411.0670036
971	484.4386651
972	480.6797904
973	458.7589457
974	457.4102505
975	414.7172148
976	489.8541194
977	471.6093758
978	444.319772
979	426.7881367
980	482.5195586
981	540.1940831
982	515.9124339
983	496.0957845
984	474.0004245
985	452.0947777
986	451.0735547
987	407.9509827
988	429.3273941
989	466.0012524
990	460.4313561
991	425.9098898
992	482.8572432
993	511.2102213
994	498.3501402
995	464.6543566
996	454.2607883
997	422.1660989
998	445.9765784
999	512.3975684
